2021_id	2022_id	headline_sim	body_sim	2021_headline	2022_headline
R47	R616	0.627	0.441	The Wireless Bridge (Radio) power must be supplied directly by the 12V 2A output of a CTR	*Power radio as specified - Part 1. The wireless bridge (radio) power must be supplied by 
R48	R812	0.511	0.231	The VRM supplying power to the Wireless Bridge per R47 must be connected to the designated	*Pressure switch requirements. The pressure switch must be connected to the high-pressure
R49	R605	0.475	0.122	Only one wire shall be connected to each WAGO connector on the PDP.	output devices connected to the COTS computing device provided they are:
R50	R501	0.466	0.065	The only circuit breakers permitted for use in the PDP are:	*Allowable motors. The only motors and actuators permitted include the following (in any
R51	R403	0.400	0.213	The fuses in the PDP shall only be replaced with functionally identical fuses (mini automo	the floor in reference to the ROBOT standing normally on a flat floor. BUMPERS do not have
R52	R505	0.461	0.184	Each branch circuit must be protected by one and only one circuit breaker on the PDP per T	*Control servos safely. Servos must be connected to, and only to, 1 of the following:
R53	R101	0.405	0.201	All circuits shall be wired with appropriately sized insulated copper wire (SIGNAL LEVEL c	*FRAME PERIMETER must be fixed. The ROBOT (excluding BUMPERS) must have a FRAME
R54	R606	0.378	0.219	Branch circuits may include intermediate elements such as COTS connectors, splices, COTS	For example, teams may not use additional batteries as extra weight on their
R55	R104	0.372	0.119	All non-SIGNAL LEVEL wiring with a constant polarity (i.e., except for outputs of relay mo	vertical projection of the FRAME PERIMETER, with the exception of its BUMPERS and minor
R56	R714	0.454	0.146	CUSTOM CIRCUITS shall not directly alter the power pathways between the ROBOT battery,	controller outputs shall be directly connected to the roboRIO, with the exception of the d
R57	R701	0.632	0.242	ROBOTS must be controlled via one (1) programmable National Instruments roboRIO (P/N:	*Control the ROBOT with a roboRIO. ROBOTS must be controlled via 1 programmable NI roboRIO
R58	R616	0.465	0.302	One (1) OpenMesh Wireless Bridge (P/N: OM5P-AN or OM5P-AC), that has been configured with	*Power radio as specified - Part 1. The wireless bridge (radio) power must be supplied by 
R59	R616	0.497	0.242	The roboRIO Ethernet PORT must be connected to the Wireless Bridge PORT labeled "18-24	*Power radio as specified - Part 1. The wireless bridge (radio) power must be supplied by 
R60	R905	0.439	0.093	Communication between the ROBOT and the OPERATOR CONSOLE is restricted as follows:	*The OPERATOR CONSOLE must have a visible display. The OPERATOR CONSOLE, the set of
R61	R901	0.500	0.260	The roboRIO, Driver Station software, and Wireless Bridge must be configured to correspond	*Use the specified Driver Station Software. The Driver Station Software provided by Nation
R62	R501	0.503	0.056	All signals must originate from the OPERATOR CONSOLE and be transmitted to the ROBOT via	*Allowable motors. The only motors and actuators permitted include the following (in any
R63	R505	0.429	0.194	No form of wireless communication shall be used to communicate to, from, or within the ROB	*Control servos safely. Servos must be connected to, and only to, 1 of the following:
R64	R714	0.454	0.301	The Wireless Bridge must be mounted on the ROBOT such that the diagnostic lights are visib	controller outputs shall be directly connected to the roboRIO, with the exception of the d
R65	R809	0.390	0.233	ROBOTS must use at least one (1), but no more than two (2), diagnostic ROBOT Signal Lights	A ROBOT'S compressor may be substituted by another compressor, but a ROBOT
R66	R903	0.451	0.058	The Driver Station software, roboRIO, Power Distribution Panel, Pneumatics Control Modules	computer, tablet, etc.) to host the Driver Station Software while participating in
R67	R714	0.505	0.768	Neither 12VDC power nor relay module or motor controller outputs shall be directly connect	controller outputs shall be directly connected to the roboRIO, with the exception of the d
R68	R504	0.411	0.280	Every relay module (per R29-B), servo controller, and PWM motor controller shall be connec	*Don't overload controllers. Each power regulating device may control electrical loads per
R69	R504	0.542	0.249	If a motor is controlled via the MXP, its power regulating device must be connected by one	*Don't overload controllers. Each power regulating device may control electrical loads per
R70	R701	0.497	0.141	Each CAN motor controller must be controlled with signal inputs sourced from the roboRIO a	*Control the ROBOT with a roboRIO. ROBOTS must be controlled via 1 programmable NI roboRIO
R71	R717	0.451	0.503	Each PCM must be controlled with signal inputs sourced from the roboRIO and passed via a	connected to the built-in CAN bus on the roboRIO (either directly or daisy-chained via ano
R72	R717	0.634	0.534	The PDP CAN interface must be connected to the CAN-bus on the roboRIO (either directly or	connected to the built-in CAN bus on the roboRIO (either directly or daisy-chained via ano
R73	R714	0.536	0.170	The CAN-bus must be connected to the roboRIO CAN port.	controller outputs shall be directly connected to the roboRIO, with the exception of the d
R74	R801	0.492	0.904	To satisfy multiple constraints associated with safety, consistency, Inspection, and const	*Only use explicitly permitted pneumatic parts. To satisfy multiple constraints associated
R75	R604	0.474	0.154	All pneumatic items must be COTS pneumatic devices and either:	camera, etc.) may be used to power COTS computing devices and any peripheral COTS input or
R76	R803	0.721	0.831	All pneumatic COMPONENTS must be used in their original, unaltered condition. Exceptions a	*Don't modify pneumatics. All pneumatic COMPONENTS must be used in their original, unalter
R77	R710	0.497	0.131	The only pneumatic system items permitted on ROBOTS include the items listed below.	*Only specified modifications to control system devices permitted. The Driver Station Soft
R78	R805	0.509	0.265	If pneumatic COMPONENTS are used, the following items are required as part of the pneumati	pneumatic COMPONENT - this would cause the part to become a prohibited
R79	R806	0.497	0.358	Throughout an event, compressed air on the ROBOT must be provided by its one onboard	*Compressed air from ROBOT compressor only. Throughout an event, compressed air on the
R80	R105	0.447	0.242	Stored air pressure on the ROBOT must be no greater than 120 psi (~827 kPa). No stored air	ROBOT extension limit. ROBOTS may not extend more than 16 in. (~40 cm) beyond their FRAME
R81	R202	0.409	0.236	Working air pressure (air pressure used to actuate devices) on the ROBOT must be no greate	attachments). Traction devices include all parts of the ROBOT that are designed to transmi
R82	R813	0.453	0.334	Only the compressor, relief valve, pressure switch, pressure vent plug, pressure gauge, st	*Vent plug requirements. Any pressure vent plug must be:
R83	R810	0.644	0.524	Pressure gauges must be placed in easily visible locations upstream and downstream of the	*Pressure gauges must be visible. Pressure gauges must be placed in easily visible locatio
R84	R905	0.448	0.194	The relief valve must be attached directly to the compressor or attached by legal hard fit	*The OPERATOR CONSOLE must have a visible display. The OPERATOR CONSOLE, the set of
R85	R812	0.496	0.721	The pressure switch requirements are:	*Pressure switch requirements. The pressure switch must be connected to the high-pressure
R86	R813	0.721	0.771	Any pressure vent plug must be:	*Vent plug requirements. Any pressure vent plug must be:
R87	R606	0.381	0.385	The outputs from multiple solenoid valves must not be plumbed together.	For example, teams may not use additional batteries as extra weight on their
R88	R901	0.511	0.716	The Driver Station software provided by National Instruments (install instructions found h	*Use the specified Driver Station Software. The Driver Station Software provided by Nation
R89	R906	0.510	0.118	The OPERATOR CONSOLE, the set of COMPONENTS and MECHANISMS used by the	COMPONENTS and MECHANISMS used by the DRIVERS and/or HUMAN PLAYERS to relay
R90	R903	0.480	0.134	Devices hosting the Driver Station software must only interface with the Field Management	computer, tablet, etc.) to host the Driver Station Software while participating in
R91	R905	0.523	0.175	The OPERATOR CONSOLE must not	*The OPERATOR CONSOLE must have a visible display. The OPERATOR CONSOLE, the set of
R92	R705	0.435	0.172	Other than the system provided by the FIELD, no other form of wireless communications shal	Note that the 4 Mbit limit will be strictly enforced by the wireless bridge.
R93	R905	0.451	0.083	OPERATOR CONSOLES shall not be made using hazardous materials, be unsafe, cause an	*The OPERATOR CONSOLE must have a visible display. The OPERATOR CONSOLE, the set of
S01	G101	0.977	0.707	Dangerous ROBOTS: not allowed. ROBOTS whose operation or design is dangerous or unsafe are	*Dangerous ROBOTS: not allowed. ROBOTS whose operation or design is dangerous or unsafe
S02	H103	0.692	0.639	Wait for the green lights. Team members may only enter the FIELD if the POWER PORT LEDs ar	*Humans, stay off the FIELD until green. Team members may only enter the FIELD if the DRIV
S04	H309	0.488	0.308	ROBOTS, stay on the FIELD during the MATCH. ROBOTS and anything they control, e.g. a	Know your ROBOT setup. When placed on the FIELD for a MATCH, each ROBOT must be:
S05	H401	0.523	0.283	Humans, stay off the FIELD during the MATCH. DRIVE TEAMS may not extend any body part into	*Behind the lines. During AUTO, DRIVE TEAM members staged behind a STARTING LINE or
S06	G105	0.503	0.418	Stay out of the Chutes. DRIVE TEAMS may not extend any body part into the LOADING BAY	*Keep it together. ROBOTS may not intentionally detach or leave parts on the FIELD.
S07	H103	0.545	0.450	Stay off the SHIELD GENERATOR and CONTROL PANELS. Team members may not sit, climb, or	*Humans, stay off the FIELD until green. Team members may only enter the FIELD if the DRIV
T01	T401	1.000	0.726	Freeze, ROBOT. During the period when the ARENA is open for measurement, ROBOTS can be	*Freeze, ROBOT. During the period when the ARENA is open for measurement, ROBOTS can be
T02	T702	0.494	0.108	An ALLIANCE may not request a TIMEOUT or a BACKUP TEAM after a Playoff MATCH is stopped	*No coupons if MATCH stopped prematurely. An ALLIANCE may not request a TIMEOUT or a
T03	T701	0.537	0.202	If an ALLIANCE wishes to use their TIMEOUT, the ALLIANCE CAPTAIN must submit their TIMEOUT	*There's a window for TIMEOUT coupons. If an ALLIANCE wishes to use their TIMEOUT, the
