mechanism_id,mechanism_name,line_type,vendor_or_material,item_or_part,sku_or_process,machine,qty,unit_price,ext_price,hours,verified,url,order_by
under_bumper_intake,Under-bumper intake,MATERIAL_STOCK,raw stock allowance,,,,1,75.00,75.00,,estimate,,2026-12-19
telescoping_arm,Telescoping arm (linear extension on a pivot or fixed angle),COTS,The Thrifty Bot,Thrifty Telescoping Tube Kit -- Base + 2nd Stage (2in to 1.5in to 1in),-,,1,220.00,220.00,,yes,https://www.thethriftybot.com/products/thrifty-telescoping-tube-kit,2026-12-12
telescoping_arm,Telescoping arm (linear extension on a pivot or fixed angle),COTS,The Thrifty Bot,Elevator Dyneema Pulley Kit,-,,1,59.99,59.99,,yes,https://www.thethriftybot.com/collections/elevator-kits,2026-12-12
telescoping_arm,Telescoping arm (linear extension on a pivot or fixed angle),COTS,REV Robotics,NEO Brushless Motor V1.1,REV-21-1650,,1,42.50,42.50,,yes,https://www.revrobotics.com/rev-21-1650/,2026-12-12
telescoping_arm,Telescoping arm (linear extension on a pivot or fixed angle),COTS,REV Robotics,SPARK MAX Motor Controller,REV-11-2158,,1,100.00,100.00,,yes,https://www.revrobotics.com/rev-11-2158/,2026-12-12
telescoping_arm,Telescoping arm (linear extension on a pivot or fixed angle),COTS,REV Robotics,MAXPlanetary System Kit,REV-25-2109,,2,36.00,72.00,,yes,https://www.revrobotics.com/rev-21-2100/,2026-12-12
telescoping_arm,Telescoping arm (linear extension on a pivot or fixed angle),FABRICATED,1/4 in 6061 plate,Base tube mount,drill + tap,bandsaw_drillpress,2,,,4.0,n/a,,2026-12-12
telescoping_arm,Telescoping arm (linear extension on a pivot or fixed angle),FABRICATED,1/8 in 6061 sheet,End effector interface plate,cut + drill,bandsaw_drillpress,1,,,3.0,n/a,,2026-12-12
telescoping_arm,Telescoping arm (linear extension on a pivot or fixed angle),FABRICATED,UHMW / Delrin stock,Slide pads,cut + drill,hand_tools,8,,,3.0,n/a,,2026-12-12
telescoping_arm,Telescoping arm (linear extension on a pivot or fixed angle),MATERIAL_STOCK,raw stock allowance,,,,1,90.00,90.00,,estimate,,2026-12-12

TOTAL,,,,,,,,,4725.49,99.0,,,
